"ISO3","Year","PC1","PC2","PC3","GDP"
"SVK",2004,-0.313095826024334,-5.76769933437966,0.917178316269283,21823.20216
"SVK",2005,-0.190918300779324,-5.96585073382111,0.900120391721776,23236.1426
"SVK",2006,-0.046250416755134,-6.1743345395321,0.871748312892216,25308.96444
"SVK",2007,0.0794606233431737,-6.36338560047234,0.864624901169563,28038.86546
"SVK",2008,0.236650134642692,-6.57905651298033,0.824402282912581,29517.37194
"SVK",2009,0.360996614343068,-6.7600638862805,0.789654989891275,27855.19689
"SVK",2010,0.489282916171915,-6.95355211700737,0.761128162794377,29719.01848
"SVK",2011,0.604781348317488,-7.15417857398959,0.738693690443378,30441.27069
"SVK",2012,0.727658017843043,-7.36551982497568,0.718658681470639,30866.37203
"SVK",2013,1.01880849893246,-7.70574831601132,0.808223920693528,31050.07879
"SVK",2014,1.14329677510163,-7.93431872764303,0.788666348656494,31859.96594
"SVK",2015,1.27041604264137,-8.15344896452996,0.769447729904328,33477.48791
"SVK",2016,1.38499875343159,-8.3625558567448,0.769580372569158,34085.59651
"SVK",2017,1.50559226233215,-8.56150807542887,0.755599660974786,35011.09411
"SVK",2018,1.63078865149302,-8.75941516514422,0.757372590729089,36382.85875
"SVK",2019,1.75257873182923,-8.94894465085926,0.762183010609067,37160.5732
"SVN",2001,1.86815284324477,-7.32244960908827,1.74839782952516,30837.03358
"SVN",2002,1.98809829014019,-7.52972680519325,1.75046187020173,31809.84321
"SVN",2003,2.11221248287456,-7.72940340256449,1.75002910676451,32806.39043
"SVN",2004,2.20501322584171,-7.93793795948552,1.78267376039943,34275.80911
"SVN",2005,2.51314605951029,-8.29291302824533,1.8714261284214,35535.23872
"SVN",2006,2.64924040865903,-8.50246196325177,1.84831910218706,37515.03216
"SVN",2007,2.7686760002639,-8.68307981616227,1.83264620197527,39969.18036
"SVN",2008,2.90982150772122,-8.84934436666613,1.80285040870408,41251.74879
"SVN",2009,2.93604233816025,-8.97367561625673,1.81556886135142,37777.48939
"SVN",2010,3.01679484125133,-9.09951726939849,1.78909853608293,38031.41764
"SVN",2011,3.10199270185783,-9.22514073350666,1.77658443783191,38201.25175
"SVN",2012,3.17757627421541,-9.36180041633922,1.75621169314776,37009.66853
"SVN",2013,3.28066823752174,-9.50665873623539,1.73291955407931,36655.00707
"SVN",2014,3.37144407034964,-9.66318219683506,1.72480361468899,37630.69448
"SVN",2015,3.44506735123745,-9.8129304790081,1.71748151770656,38502.35211
"SVN",2016,3.54836866858804,-9.95666414118029,1.70531275829323,39641.64565
"SVN",2017,3.65676129000017,-10.1192620986767,1.69550986283547,41665.70694
"SVN",2018,3.7582147189773,-10.2579429579133,1.69793288136846,43332.87886
"SVN",2019,3.9096433487568,-10.3660104203891,1.62243857728193,44540.58516
"SLB",2001,-5.88503454832116,4.79372532671294,1.52727242360541,2055.292312
"SLB",2002,-6.01755104896861,4.28886489047193,1.37543409588823,1960.440991
"SLB",2003,-5.75315530807767,4.69858165527979,1.53857106766848,2050.326601
"SLB",2004,-5.68731539891734,4.58172888329895,1.52863354933831,2168.517933
"SLB",2005,-5.82110188010898,3.94063360393394,1.34510560508643,2287.259989
"SLB",2006,-5.75488972901676,3.82773962367169,1.33602519914175,2340.660459
"SLB",2007,-5.72332789483062,3.60253104867301,1.26952940137735,2384.325485
"SLB",2008,-5.50841335684877,3.89181735512188,1.21134557708006,2489.792536
"SLB",2009,-5.44463291542091,3.79539687498721,1.2057278744817,2514.886028
"SLB",2010,-5.59529916463841,3.18705836708321,1.03183733484855,2682.285286
"SLB",2011,-5.52004248417238,3.24528747124774,1.09259491981045,2777.471033
"SLB",2012,-5.47502659971642,3.17249394045841,1.09573477469977,2743.453331
"SLB",2013,-5.41631620196792,3.22687608245299,1.13182348089072,2783.594418
"SLB",2014,-5.37135411255897,3.15065688594831,1.13471231146835,2716.418072
"SLB",2015,-5.31830081757192,3.05752986217253,1.1384175818843,2664.73036
"SLB",2016,-5.26403213805021,2.96351982014561,1.1419158846309,2715.233857
"SLB",2017,-5.20923236014292,2.86213484327259,1.14296425929796,2703.660714
"SLB",2018,-5.14902205464831,2.75363349821488,1.1454543804212,2686.120007
"SLB",2019,-5.09787954011123,2.66752188665183,1.1505356229848,2661.599734
"SOM",2001,-1.54181807759015,9.08152466352795,1.58908916818582,723.1202281
"SOM",2002,-1.49248646062652,9.1485247906692,1.59000940710958,749.6445274
"SOM",2003,-1.60878777031176,9.14150385684355,1.59414379847799,777.6054949
"SOM",2004,-1.54704584601102,9.22899260392782,1.59045492053341,802.7716914
"SOM",2005,-1.64680070851023,9.25296256764681,1.58890995281449,830.5092026
"SOM",2006,-1.62374173297332,9.34266445656257,1.5829532524552,857.6858597
"SOM",2007,-1.87015524705505,8.8436008392765,1.40699221274491,887.0510179
"SOM",2008,-1.67720526265243,9.38998284962385,1.57706535614464,918.8023545
"SOM",2009,-1.69131467512827,9.36827677511353,1.57485137185881,955.8772915
"SOM",2010,-1.70366450319138,9.44305071202428,1.57231869945405,994.8685289
"SOM",2011,-1.87953608053033,9.80142970616022,1.58315933555675,1053.983909
"SOM",2012,-1.73307834810164,9.38675724818513,1.57016568276854,1114.404225
"SOM",2013,-1.79076260186722,9.12951809158096,1.08381556504852,1197.291917
"SOM",2014,-1.79391901836885,9.1105489289374,1.0863196582216,1258.822496
"SOM",2015,-1.82039575005164,9.08410994972756,1.09071348986976,1343.442972
"SOM",2016,-1.8029368214971,9.06530297460574,1.0989344743214,1383.658542
"SOM",2017,-1.8539222219185,9.13356752015569,1.10654251319584,1527.112163
"SOM",2018,-1.80630048329501,9.05766506386311,1.1033949629536,1504.43909
"SOM",2019,-1.79016487147001,8.96638734166629,1.10028127804795,1491.107606
"ZAF",2001,-5.39384215297193,2.14694267837945,1.05522751851234,11401.43105
"ZAF",2002,-5.33911056900205,2.02238314435203,1.06376466117576,11711.88395
"ZAF",2003,-5.28678978463546,1.91958849100598,1.07221577585739,11937.71542
"ZAF",2004,-5.22530362523082,1.79252189773636,1.0797501255223,12356.31634
"ZAF",2005,-5.15914259382536,1.65287093505912,1.08396075556015,12877.30631
"ZAF",2006,-5.10524191000511,1.53707218248379,1.0872331829413,13460.68942
"ZAF",2007,-5.04242392275226,1.39856363461412,1.08263928477516,14033.40084
"ZAF",2008,-4.99033377193023,1.27815948603663,1.07401789548949,14315.18965
"ZAF",2009,-4.92161683648514,1.12991858740141,1.05486084258798,13927.72889
"ZAF",2010,-4.82935586789261,0.94783804460745,1.03115551018329,14182.33428
"ZAF",2011,-4.74132342429455,0.780707384876824,1.01006839923908,14451.92918
"ZAF",2012,-4.63725690055295,0.564123814178868,0.984168555728261,14581.58896
"ZAF",2013,-4.52542338457369,0.519636679881491,0.992176957324646,14699.06681
"ZAF",2014,-4.44522418689334,0.211442436570123,0.93222339158326,14661.26243
"ZAF",2015,-4.3388378008131,-0.0164098254203784,0.897048611301632,14559.47438
"ZAF",2016,-4.28314497698754,-0.0181236055407263,0.867993056092699,14519.03086
"ZAF",2017,-4.0895139611771,-0.4201679786488,0.842504883965106,14591.43668
"ZAF",2018,-3.93687104619078,-0.676720292947989,0.824722071751678,14571.37563
"ZAF",2019,-3.79090326953246,-0.929128333446647,0.813891761855277,14370.23804
"ESP",2001,1.23111718838077,-8.24844304031513,0.848535658850411,41187.05767
"ESP",2002,1.37708821475019,-8.5078405867508,0.823152569199822,41728.31379
"ESP",2003,1.47703618458805,-8.59818772998352,0.813495300266793,42184.99331
"ESP",2004,1.59806802200893,-8.74012598021514,0.79614887054184,42754.73829
"ESP",2005,1.6974955521872,-8.85922914290787,0.792317113330407,43531.41114
"ESP",2006,1.81984376397962,-8.99486467930283,0.777164823017512,44532.4225
"ESP",2007,1.91609057892772,-9.09259398613868,0.774860839987024,45260.3672
"ESP",2008,2.02150503746484,-9.15479971462869,0.764041659785954,44885.77047
"ESP",2009,2.10874661697643,-9.26275074607198,0.760964493221416,42813.51581
"ESP",2010,2.04361963783513,-9.40616410502011,0.685132109612459,42656.96387
"ESP",2011,2.16190552301935,-9.57272384974139,0.690102449525978,42233.65379
"ESP",2012,2.24086382087572,-9.70706891503955,0.697798857710369,40996.98527
"ESP",2013,2.33901038125894,-9.85855639248947,0.718613728429199,40544.46043
"ESP",2014,2.47423960611234,-10.0608267971209,0.719391137976099,41284.1684
"ESP",2015,2.71883150938943,-10.2257680532542,0.815863707316307,42994.00907
"ESP",2016,2.64064859263983,-10.3299755734826,0.743109376343279,44210.00918
"ESP",2017,2.70494141620911,-10.4331802527514,0.765963987011523,45383.75986
