"region","drug","avertable_burden","lower_bound","upper_bound","avertable_burden_per_100k","lower_bound_per_100k","upper_bound_per_100k"
"East Asia","J01E",64.2178254720018,-65.658492375129,189.899890114121,0.00430721256031842,-0.00440384084903383,0.0127369493733363
"Eastern Europe","J01E",13.2805116817419,-29.6655832861965,50.524270014325,0.00635974796377236,-0.0142062020967073,0.0241949731339375
"Eastern Sub-Saharan Africa","J01E",67.7103525338484,-33.2280605798294,183.042437675999,0.0164660876607844,-0.00808053920605141,0.0445130280913832
"High-income Asia Pacific","J01E",6.39580408277894,-10.7580018934515,21.4623688926547,0.00346707642454312,-0.00583176317742518,0.0116344516247658
"High-income North America","J01E",6.16579812432129,-16.2699206479038,26.5822830631956,0.00168647731740006,-0.0044501703713514,0.0072708214779124
"North Africa and Middle East","J01E",28.0013087899499,-20.865418044495,77.3014161793489,0.00446225004939598,-0.00332508431652784,0.0123186473443871
"Oceania","J01E",1.68603951893681,-0.817031847471073,4.24120696847423,0.00954552434066832,-0.00462563142769884,0.0240116224422259
"South Asia","J01E",93.127791377441,-70.7691342596725,269.795061714053,0.00512791802524748,-0.00389677789877492,0.0148557905177743
"Southeast Asia","J01E",40.6591873236802,-39.0006822336378,116.1883882472,0.00618962790683836,-0.00593715042106772,0.0176875864394513
"Southern Latin America","J01E",4.27745079481843,-4.92347340401724,12.6271436819638,0.0063897284353124,-0.00735476794923335,0.0188626410709757
"Southern Sub-Saharan Africa","J01E",11.1742375542254,-8.36149166197653,30.1013827496372,0.0136476815308858,-0.0102123276663884,0.0367643951914199
"Tropical Latin America","J01E",10.0831413414324,-18.2543370665487,35.7153168937074,0.00474423425711,-0.00858887605751344,0.0168044683866937
"Western Europe","J01E",6.55002433312608,-47.9008475795214,57.3750603166236,0.00154164834333239,-0.0112741966379753,0.0135040974181395
"Western Sub-Saharan Africa","J01E",106.036096007896,-40.6777589985363,263.054516367021,0.024197244268241,-0.0092825906255444,0.0600285622352864
"Andean Latin America","J01X",0,0,0,0,0,0
"Australasia","J01X",0,0,0,0,0,0
"Caribbean","J01X",0,0,0,0,0,0
"Central Asia","J01X",0,0,0,0,0,0
"Central Europe","J01X",0,0,0,0,0,0
"Central Latin America","J01X",0,0,0,0,0,0
"Central Sub-Saharan Africa","J01X",0,0,0,0,0,0
"East Asia","J01X",0,0,0,0,0,0
"Eastern Europe","J01X",0,0,0,0,0,0
"Eastern Sub-Saharan Africa","J01X",0,0,0,0,0,0
"High-income Asia Pacific","J01X",0,0,0,0,0,0
"High-income North America","J01X",0,0,0,0,0,0
"North Africa and Middle East","J01X",0,0,0,0,0,0
"Oceania","J01X",0,0,0,0,0,0
"South Asia","J01X",0,0,0,0,0,0
"Southeast Asia","J01X",0,0,0,0,0,0
"Southern Latin America","J01X",0,0,0,0,0,0
"Southern Sub-Saharan Africa","J01X",0,0,0,0,0,0
"Tropical Latin America","J01X",0,0,0,0,0,0
"Western Europe","J01X",0,0,0,0,0,0
"Western Sub-Saharan Africa","J01X",0,0,0,0,0,0
"Andean Latin America","J01F",18.6642476031443,5.69995226129077,30.4702028248848,0.0308727045709181,0.00942834374965753,0.050401044286947
