"Antibiotic","Pathogen","Response","Lower_CI","Upper_CI","R_squared","White_test_p_value","RMSE","AIC","BIC","Model_Singular","Bootstrap_Singular_Proportion","Variation_Explained.Consumption","Variation_Explained.PC1","Variation_Explained.PC2","Variation_Explained.PC3","Variation_Explained.GDP","Variation_Explained.Year","VIF.Consumption","VIF.PC1","VIF.PC2","VIF.PC3","VIF.GDP","VIF.Year"
"J01C","P. aeruginosa",0.0438749905871577,-0.230034125808347,0.301966065486536,0.304077242568611,3.26787860594696e-14,0.811618391843125,2090.3469545567,2128.53159756195,FALSE,0,0.00528432780750705,0.0584878887928116,0.020867092381325,0.207110761528242,0.680986605939027,0.0272633235510867,1.26376072488434,7.00887902351565,7.37643755939148,1.29163263561581,1.45289893030981,1.10423510167491
"J01C","S. aureus",0.746902206789379,0.156464000580204,1.57633601364193,0.411153881188195,6.69709070102675e-61,1.0829562059383,2382.38779765234,2419.14310533034,FALSE,0,0.303451589069743,0.00190956416288061,0.0073804076422722,0.0425530404424502,0.628277478331905,0.016427920350749,1.14213038751922,4.73180740539751,5.18155627556225,1.26006564770796,1.36663753353351,1.25237101864809
"J01C","S. pneumoniae",0.315812824602497,-0.31186589669619,0.933685205240657,0.298712921591235,3.47448668686558e-14,1.25154177331605,3403.50016620769,3441.60200226315,FALSE,0,0.107568446403304,0.16796438052497,0.284613316524191,0.219098293039754,0.0275202058999897,0.19323535760779,1.08417195485228,7.26354248876433,7.77262918749057,1.33197697509931,1.4638383385043,1.16943278862683
"J01D","Acinetobacter spp.",0.300897348545489,-0.307214403093468,0.7259201139589,0.326336599353478,2.22269594217381e-18,1.27244114074561,4136.88409470167,4176.07381097631,FALSE,0,0.139456626812673,0.0127627113774112,0.0192293157493398,0.0553769822055636,0.45278325682707,0.320391107027942,1.4800049059026,14.1928280737446,15.325176656723,1.62438524053798,1.88379135502035,1.18570681824364
"J01D","E. coli",0.275601294226577,0.0806670462571023,0.376998841142494,0.0767791343679046,7.48952668010567e-81,1.59651941269372,11926.2072326564,11970.74186049,FALSE,0,0.450379071488729,0.026170895394639,0.00932173776387715,0.00854442767460799,0.329241813466819,0.176342054211328,1.57002215892455,37.7397417865828,34.3316709877525,2.6665630490288,1.70922634489263,1.07469212182131
"J01D","K. pneumoniae",0.099600895804739,-0.182667558059357,0.552314046384764,0.308354313262637,1.1784025537965e-246,1.61798346420873,9194.26431726037,9237.92057397335,FALSE,0,0.0373122847444583,0.00128431877865195,0.0047670430779814,0.533187308117871,0.40848923155152,0.0149598137295167,1.35772382639378,33.6084351334211,32.8521069400579,2.40887499797699,1.45783014545865,1.03392711497251
"J01D","Morganella spp.",0.0221480390323186,-0.0518027977851556,0.0678629089323105,0.0112652816752952,0.128425351327473,0.594373796312479,195.362555235466,223.534242578364,FALSE,0,0.237699552803055,0.0143402359915376,0.0036103636515956,0.0787336837864552,0.337333230412058,0.328282933355299,1.27202220638612,10.1639415539638,11.117613487996,1.28071616785929,1.7765439836995,1.0291839736555
"J01D","P. aeruginosa",0.352108102643182,0.129671836791137,0.549708413752768,0.496493532906636,1.53387067231664e-14,0.90122295359912,3438.43986076851,3479.94111808143,FALSE,0,0.475255404239643,0.000406386028779308,0.0188992271693493,0.00236457173914811,0.476116230398097,0.0269581804249831,1.33506770499286,5.56897874878969,5.97414489947308,1.39193658111618,1.36589845019682,1.22775663837029
"J01D","S. aureus",-0.0130626077406686,-0.0729218838249698,0.0194927938005051,0.0696356161472871,0.10954811434778,0.145361884390156,-151.888767429309,-123.653334729217,FALSE,0,0.039617609726717,0.0754217936734762,0.168824723031432,0.00106598757460234,0.68452572893805,0.0305441570557228,1.25229974178462,9.59967682123359,10.5744347548086,1.26361573702048,1.74952314718329,1.02654419961902
"J01D","S. pneumoniae",0.190230376838502,-0.134817427002194,0.610014219916016,0.175739934890195,4.85100177151698e-30,1.36132688188014,3387.37855259193,3425.29324561079,FALSE,0,0.118223144119145,0.0411048650409114,0.148624660953911,0.674215437868791,7.54587633608142e-06,0.0178243461409052,1.21492969385994,19.1749644476447,19.5815790384672,1.46631024910143,1.54738477981387,1.42205131144826
